Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base,0.075,1.5456E-12,4.1817E-05,0,0,0,5.617,0.0058999,7.0945E-06,4.1811E-15,0.0033884,-4.4193E-15,0.0034812,0,0,0,0,0,0,package://02_Leg_UFDF_260610_8/meshes/base.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://02_Leg_UFDF_260610_8/meshes/base.STL,,SK01-HL-A00-2;SK01-HL-A00-3,Global Coordinate,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
HL_hip_link,0.026196,0.039035,-5.8825E-05,0,0,0,1.268,0.0005559,1.3767E-05,2.7997E-09,0.00078767,-1.4339E-09,0.00044966,0,0,0,0,0,0,package://02_Leg_UFDF_260610_8/meshes/HL_hip_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://02_Leg_UFDF_260610_8/meshes/HL_hip_link.STL,,SK01-HL-A10-1,HL-Link1 Coordinate,HL-J1,HL_hip_joint,revolute,-0.225,0.0225,0,0,0,0,base,1,0,0,28,29.6,-0.6109,0.6109,,,,,,,,
HL_thigh_link,0.033321,0.00079281,-0.088726,0,0,0,3.021,0.0040056,2.8469E-07,0.00097243,0.005605,-5.7663E-07,0.0017035,0,0,0,0,0,0,package://02_Leg_UFDF_260610_8/meshes/HL_thigh_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://02_Leg_UFDF_260610_8/meshes/HL_thigh_link.STL,,SK01-HL-A30-1,HL-Link2 Coordinate,HL-J2,HL_thigh_joint,revolute,0,0.115,0,0,0,0,HL_hip_link,0,1,0,28,29.6,-1.396,2.094,,,,,,,,
HL_calf_link,-0.04561,0.00012675,-0.084011,0,0,0,0.592,0.0017773,-5.113E-10,-0.0009434,0.0024327,-2.952E-10,0.00068127,0,0,0,0,0,0,package://02_Leg_UFDF_260610_8/meshes/HL_calf_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://02_Leg_UFDF_260610_8/meshes/HL_calf_link.STL,,SK01-HL-A40-1,HL-Link3 Coordinate,HL-J3,HL_calf_joint,revolute,0.078665,0,-0.21613,0,0,0,HL_thigh_link,0,1,0,42,19.7,-0.524,1.484,,,,,,,,
HL_foot_link,0.021095,-1.3548E-12,-0.057957,0,0,0,0.20444,0.00024966,-1.0271E-10,7.9762E-05,0.00030517,-3.7368E-11,5.9551E-05,0,0,0,0,0,0,package://02_Leg_UFDF_260610_8/meshes/HL_foot_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://02_Leg_UFDF_260610_8/meshes/HL_foot_link.STL,,SK01-HL-A50-1,HL-Link4 Coordinate,HL-J4,HL_foot_joint,revolute,-0.1225,0,-0.21218,0,0,0,HL_calf_link,0,1,0,56,14.8,-1.571,0.524,,,,,,,,
HL_foot_contact_link,0.016812,-1.3878E-16,-0.04619,0,0,0,0.033311,7.0429E-06,-6.2778E-21,-2.5809E-07,1.0583E-05,-3.3627E-21,7.658E-06,0,0,0,0,0,0,package://02_Leg_UFDF_260610_8/meshes/HL_foot_contact_link.STL,1,1,1,1,0,0,0,0,0,0,package://02_Leg_UFDF_260610_8/meshes/HL_foot_contact_link.STL,,SK01-HL-P27-1,HL-Link5 Coordinate,HL-J5,HL_foot_contact_joint,fixed,0.0376222157658233,0,-0.103366188286448,0,0,0,HL_foot_link,0,0,0,,,,,,,,,,,,
HR_hip_link,0.044964,-0.03664,4.8852E-05,0,0,0,1.385,0.00055198,-2.2357E-06,-2.7997E-09,0.00081827,-1.4339E-09,0.00046473,0,0,0,0,0,0,package://02_Leg_UFDF_260610_8/meshes/HR_hip_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://02_Leg_UFDF_260610_8/meshes/HR_hip_link.STL,,SK01-HL-A20-1,HR-Link1 Coordinate,HR-J1,HR_hip_joint,revolute,-0.225,-0.0225,0,0,0,0,base,1,0,0,28,29.6,-0.6109,0.6109,,,,,,,,
HR_thigh_link,0.031507,-0.0007928,-0.089386,0,0,0,3.021,0.0040121,-1.5258E-07,0.00096473,0.005605,6.2473E-07,0.001697,0,0,0,0,0,0,package://02_Leg_UFDF_260610_8/meshes/HR_thigh_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://02_Leg_UFDF_260610_8/meshes/HR_thigh_link.STL,,SK01-HL-A30-2,HR-Link2 Coordinate,HR-J2,HR_thigh_joint,revolute,0,-0.115,0,0,0,0,HR_hip_link,0,1,0,28,29.6,-1.396,2.094,,,,,,,,
HR_calf_link,-0.04561,-0.00012405,-0.084011,0,0,0,0.592,0.0017773,5.113E-10,-0.0009434,0.0024327,2.952E-10,0.00068127,0,0,0,0,0,0,package://02_Leg_UFDF_260610_8/meshes/HR_calf_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://02_Leg_UFDF_260610_8/meshes/HR_calf_link.STL,,SK01-HL-A40-M-1,HR-Link3 Coordinate,HR-J3,HR_calf_joint,revolute,0.078665,0,-0.21613,0,0,0,HR_thigh_link,0,1,0,42,19.7,-0.524,1.484,,,,,,,,
HR_foot_link,0.021095,-1.3544E-12,-0.057957,0,0,0,0.20444,0.00024966,-1.0271E-10,7.9762E-05,0.00030517,-3.7368E-11,5.9551E-05,0,0,0,0,0,0,package://02_Leg_UFDF_260610_8/meshes/HR_foot_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://02_Leg_UFDF_260610_8/meshes/HR_foot_link.STL,,SK01-HL-A50-2,HR-Link4 Coordinate,HR-J4,HR_foot_joint,revolute,-0.1225,0,-0.21218,0,0,0,HR_calf_link,0,1,0,56,14.8,-1.571,0.524,,,,,,,,
